Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-885789/2562560,wjp1o2,wjp1o2,wjp1o6,dwjp1o2,dwjp1o6
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-9579/2562560,wjm1o2,wjm1o2,wjp1o2,dwjp1o2,dwjp1o6
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,25029/2562560,wjm1o6,wjm1o2,wjp1o2,dwjp1o2,dwjp1o6
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-13203/512512,wjp1o6,wjm1o2,wjp1o2,dwjp1o2,dwjp1o6
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-83751/2562560,wjp1o2,wjm1o2,wjp1o2,dwjp1o2,dwjp1o6
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,25029/2562560,wjm1o2,wjm1o6,wjp1o2,dwjp1o2,dwjp1o6
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-65853/1281280,wjm1o6,wjm1o6,wjp1o2,dwjp1o2,dwjp1o6
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,321003/2562560,wjp1o6,wjm1o6,wjp1o2,dwjp1o2,dwjp1o6
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,194697/1281280,wjp1o2,wjm1o6,wjp1o2,dwjp1o2,dwjp1o6
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-13203/512512,wjm1o2,wjp1o6,wjp1o2,dwjp1o2,dwjp1o6
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,321003/2562560,wjm1o6,wjp1o6,wjp1o2,dwjp1o2,dwjp1o6
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-791451/2562560,wjp1o6,wjp1o6,wjp1o2,dwjp1o2,dwjp1o6
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-885789/2562560,wjp1o2,wjp1o6,wjp1o2,dwjp1o2,dwjp1o6
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-83751/2562560,wjm1o2,wjp1o2,wjp1o2,dwjp1o2,dwjp1o6
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,194697/1281280,wjm1o6,wjp1o2,wjp1o2,dwjp1o2,dwjp1o6
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-885789/2562560,wjp1o6,wjp1o2,wjp1o2,dwjp1o2,dwjp1o6
729*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**3*((27/16 - 27*x/16)*(x + 1/3) + (-27*x/16 - 27/16)*(x - 1) + (-27*x/16 - 27/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1164861/1281280,wjp1o2,wjp1o2,wjp1o2,dwjp1o2,dwjp1o6
-729*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-107519/1281280,wjm1o2,wjm1o2,wjm1o2,dwjm1o2,dwjp1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-57951/2562560,wjm1o6,wjm1o2,wjm1o2,dwjm1o2,dwjp1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,2727/256256,wjp1o6,wjm1o2,wjm1o2,dwjm1o2,dwjp1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-18559/7687680,wjp1o2,wjm1o2,wjm1o2,dwjm1o2,dwjp1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-57951/2562560,wjm1o2,wjm1o6,wjm1o2,dwjm1o2,dwjp1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2403/366080,wjm1o6,wjm1o6,wjm1o2,dwjm1o2,dwjp1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjp1o6,wjm1o6,wjm1o2,dwjm1o2,dwjp1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjp1o2,wjm1o6,wjm1o2,dwjm1o2,dwjp1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,2727/256256,wjm1o2,wjp1o6,wjm1o2,dwjm1o2,dwjp1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjm1o6,wjp1o6,wjm1o2,dwjm1o2,dwjp1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1647/1281280,wjp1o6,wjp1o6,wjm1o2,dwjm1o2,dwjp1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjp1o2,wjp1o6,wjm1o2,dwjm1o2,dwjp1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-18559/7687680,wjm1o2,wjp1o2,wjm1o2,dwjm1o2,dwjp1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjm1o6,wjp1o2,wjm1o2,dwjm1o2,dwjp1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjp1o6,wjp1o2,wjm1o2,dwjm1o2,dwjp1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-18559/7687680,wjp1o2,wjp1o2,wjm1o2,dwjm1o2,dwjp1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-57951/2562560,wjm1o2,wjm1o2,wjm1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2403/366080,wjm1o6,wjm1o2,wjm1o6,dwjm1o2,dwjp1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjp1o6,wjm1o2,wjm1o6,dwjm1o2,dwjp1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjp1o2,wjm1o2,wjm1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2403/366080,wjm1o2,wjm1o6,wjm1o6,dwjm1o2,dwjp1o2
19683*(x - 1)**3*(x - 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,78003/1281280,wjm1o6,wjm1o6,wjm1o6,dwjm1o2,dwjp1o2
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2187/512512,wjp1o6,wjm1o6,wjm1o6,dwjm1o2,dwjp1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1647/1281280,wjp1o2,wjm1o6,wjm1o6,dwjm1o2,dwjp1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjm1o2,wjp1o6,wjm1o6,dwjm1o2,dwjp1o2
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2187/512512,wjm1o6,wjp1o6,wjm1o6,dwjm1o2,dwjp1o2
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2187/512512,wjp1o6,wjp1o6,wjm1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjp1o2,wjp1o6,wjm1o6,dwjm1o2,dwjp1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjm1o2,wjp1o2,wjm1o6,dwjm1o2,dwjp1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1647/1281280,wjm1o6,wjp1o2,wjm1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjp1o6,wjp1o2,wjm1o6,dwjm1o2,dwjp1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,2727/256256,wjp1o2,wjp1o2,wjm1o6,dwjm1o2,dwjp1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,2727/256256,wjm1o2,wjm1o2,wjp1o6,dwjm1o2,dwjp1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjm1o6,wjm1o2,wjp1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1647/1281280,wjp1o6,wjm1o2,wjp1o6,dwjm1o2,dwjp1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1137/2562560,wjp1o2,wjm1o2,wjp1o6,dwjm1o2,dwjp1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjm1o2,wjm1o6,wjp1o6,dwjm1o2,dwjp1o2
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2187/512512,wjm1o6,wjm1o6,wjp1o6,dwjm1o2,dwjp1o2
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2187/512512,wjp1o6,wjm1o6,wjp1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,10233/2562560,wjp1o2,wjm1o6,wjp1o6,dwjm1o2,dwjp1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-1647/1281280,wjm1o2,wjp1o6,wjp1o6,dwjm1o2,dwjp1o2
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,-2187/512512,wjm1o6,wjp1o6,wjp1o6,dwjm1o2,dwjp1o2
-19683*(x - 1)**3*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((9*x/16 - 3/16)*(x + 1/3) + (9*x/16 + 9/16)*(x - 1/3) + (9*x/16 + 9/16)*(x + 1/3))/4096,-1,1,78003/1281280,wjp1o6,wjp1o6,wjp1o6,dwjm1o2,dwjp1o2
